Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
76916,Private Campaign,100,1
76917,Private Campaign,150,1
76918,Private Campaign,109.8,1
76919,Private Campaign,109.8,1
76920,Private Campaign,54.8,1
76921,"COVID-19,Migrant Workers",120,2
76922,Private Campaign,54.8,1
76923,Private Campaign,54.8,1
76924,Private Campaign,21.8,1
76925,Private Campaign,109.8,1
76926,Private Campaign,10.8,1
76927,Private Campaign,50,1
76928,Private Campaign,54.8,1
76929,Private Campaign,54.8,1
76930,Private Campaign,52.5,1
76931,Private Campaign,100,1
76932,Private Campaign,540,1
76933,Private Campaign,1080,1
76934,Private Campaign,30,1
76935,Private Campaign,100,1
76936,Private Campaign,184.6,1
76937,Private Campaign,540,1
76938,Children,164.8,1
76939,Private Campaign,540,1
76940,Private Campaign,100,1
76941,"Children,Family",219.6,2
76942,Private Campaign,216,1
76943,Private Campaign,109.8,1
76944,Private Campaign,10,1
76945,"Children,Medical,Private Campaign",1636.8,12
76946,Private Campaign,10.8,1
76947,Private Campaign,21.8,1
76948,Private Campaign,500,1
76949,Private Campaign,1080,1
76950,"Children,Private Campaign",219.6,2
76951,"Children,Private Campaign",109.6,2
76952,Private Campaign,5400,1
76953,Private Campaign,109.8,1
76954,Private Campaign,10,1
76955,Private Campaign,109.8,1
76956,Private Campaign,50,2
76957,Private Campaign,54.8,1
76958,Private Campaign,30,1
76959,Private Campaign,21.8,1
76960,Private Campaign,54.8,1
76961,Private Campaign,100,1
76962,Private Campaign,109.8,1
76963,Private Campaign,54.8,1
76964,Private Campaign,109.8,1
76965,Private Campaign,54.8,1
76966,Private Campaign,109.8,1
76967,Private Campaign,100,1
76968,Private Campaign,21.8,1
76969,Private Campaign,109.8,1
76970,"Children,Medical,Private Campaign",9630,6
76971,Private Campaign,24,1
76972,Private Campaign,501,1
76973,Private Campaign,20,1
76974,Private Campaign,54.8,1
76975,Private Campaign,54.8,1
76976,Private Campaign,5050,1
76977,Private Campaign,32.8,1
76978,Private Campaign,324,1
76979,Private Campaign,109.8,1
76980,Private Campaign,21.8,1
76981,Private Campaign,21.8,1
76982,Private Campaign,20,1
76983,Private Campaign,6,1
76984,Private Campaign,109.8,1
76985,Private Campaign,216,1
76986,Private Campaign,109.8,1
76987,Private Campaign,216,1
76988,Private Campaign,54.8,1
76989,Private Campaign,109.8,1
76990,Private Campaign,10.8,1
76991,Private Campaign,109.8,1
76992,Private Campaign,109.8,1
76993,Private Campaign,50,1
76994,Private Campaign,10.8,1
76995,Private Campaign,21.8,1
76996,Private Campaign,109.8,1
76997,Private Campaign,109.8,1
76998,Private Campaign,97.57,1
76999,Children,50,1
77000,Private Campaign,21.8,1
77001,Private Campaign,30,1
77002,Private Campaign,54.8,1
77003,Private Campaign,54.8,1
77004,Private Campaign,109.8,1
77005,Private Campaign,10.8,1
77006,Private Campaign,216,1
77007,Children,318.6,1
77008,Private Campaign,109.8,1
77009,Private Campaign,2000,1
77010,Private Campaign,50,1
77011,Private Campaign,109.8,1
77012,Private Campaign,200,1
77013,Private Campaign,109.8,1
77014,Private Campaign,100,1
77015,Private Campaign,500,1
77016,Private Campaign,21.8,1
77017,Private Campaign,54.8,1
77018,Private Campaign,20,1
77019,Private Campaign,10.8,1
77020,Private Campaign,3,1
77021,Private Campaign,54.8,1
77022,Private Campaign,50,1
77023,Private Campaign,109.8,1
77024,Private Campaign,10.8,1
77025,Private Campaign,54.8,1
77026,Private Campaign,216,1
77027,Private Campaign,14.1,1
77028,"Children,Medical,Private Campaign",948,6
77029,Private Campaign,21.8,1
77030,Private Campaign,32.8,1
77031,Private Campaign,109.8,1
77032,Private Campaign,54.8,1
77033,Private Campaign,10.8,1
77034,Private Campaign,200,1
77035,Private Campaign,20,1
77036,Private Campaign,100,1
77037,"Family,Private Campaign",425.04,2
77038,Private Campaign,10,1
77039,Private Campaign,209.8,2
77040,Private Campaign,109.8,1
77041,Private Campaign,10.8,1
77042,Private Campaign,216,1
77043,Private Campaign,109.8,1
77044,Private Campaign,10.8,1
77045,Private Campaign,109.8,1
77046,Private Campaign,50,1
77047,Private Campaign,25,1
77048,Private Campaign,216,1
77049,Private Campaign,54.8,1
77050,Private Campaign,54.8,1
77051,Private Campaign,109.8,1
77052,Private Campaign,54.8,1
77053,Private Campaign,54.8,1
77054,Private Campaign,109.8,1
77055,Private Campaign,21.8,1
77056,Private Campaign,216,1
77057,Private Campaign,540,1
77058,Private Campaign,50,1
77059,Private Campaign,100,1
77060,Private Campaign,54.8,1
77061,Private Campaign,21.8,1
77062,Private Campaign,54.8,1
77063,Private Campaign,21.8,1
77064,Private Campaign,20,1
77065,Private Campaign,10.8,1
77066,Private Campaign,50,1
77067,Private Campaign,100,1
77068,Private Campaign,300,1
77069,Private Campaign,109.8,1
77070,Private Campaign,109.8,1
77071,Private Campaign,54.8,1
77072,Private Campaign,52.5,1
77073,Private Campaign,113.4,1
77074,Private Campaign,109.8,1
77075,Private Campaign,96.6,1
77076,Private Campaign,109.8,1
77077,Private Campaign,109.8,1
77078,"Children,COVID-19,Medical,Private Campaign",5800,16
77079,Private Campaign,30.6,1
77080,Private Campaign,7,1
77081,Private Campaign,96.6,1
77082,Private Campaign,54.8,1
77083,Private Campaign,10.8,1
77084,"Hongbao for Hope,Thematic Campaign",413.2,2
77085,Private Campaign,21.8,1
77086,Private Campaign,100,1
77087,Private Campaign,21.8,1
77088,Private Campaign,10.8,1
77089,Private Campaign,50,1
77090,Private Campaign,20,1
77091,"Hongbao for Hope,Thematic Campaign",61.2,2
77092,Private Campaign,109.8,1
77093,Private Campaign,50,1
77094,Private Campaign,97.57,1
77095,Private Campaign,100,1
77096,Private Campaign,21.8,1
77097,Private Campaign,5.3,1
77098,Private Campaign,109.8,1
77099,Private Campaign,18.88,1
77100,Private Campaign,10,1
77101,Private Campaign,10.8,1
77102,Private Campaign,54.8,1
77103,Private Campaign,216,1
77104,Private Campaign,50,1
77105,Private Campaign,50,1
77106,Private Campaign,10.8,1
77107,Private Campaign,21,1
77108,Private Campaign,52.5,1
77109,Private Campaign,100,1
77110,Private Campaign,324,1
77111,Private Campaign,54.8,1
77112,Private Campaign,10.8,1
77113,Private Campaign,10.8,1
77114,Private Campaign,54.8,1
77115,Private Campaign,100,1
77116,Private Campaign,109.8,1
77117,"Hongbao for Hope,Thematic Campaign",1000,2
77118,"Children,Medical,Private Campaign",977.4,6
77119,Private Campaign,10.8,1
77120,Private Campaign,0.9,1
77121,"Hongbao for Hope,Migrant Workers,Thematic Campaign",196.8,6
77122,Private Campaign,62,1
77123,Private Campaign,54.8,1
77124,Private Campaign,216,1
77125,"Children,Family,Medical,Private Campaign",167.2,8
77126,Private Campaign,109.8,1
77127,Private Campaign,54.8,1
77128,Private Campaign,54.8,1
77129,Private Campaign,1080,1
77130,"Hongbao for Hope,Raya For Hope,Thematic Campaign",176.4,6
77131,Private Campaign,12,1
77132,Private Campaign,105,1
77133,Private Campaign,10,1
77134,Private Campaign,10,1
77135,Private Campaign,74.6,1
77136,Private Campaign,540,1
77137,"Children,Family,Medical,Private Campaign",639.2,8
77138,Private Campaign,200,1
77139,Private Campaign,216,1
77140,Private Campaign,21.8,1
77141,Private Campaign,54.8,1
77142,Private Campaign,10.8,1
77143,Private Campaign,10.8,1
77144,Private Campaign,74.6,1
77145,"Children,Medical,Private Campaign",224.4,6
77146,Private Campaign,0.9,1
77147,Private Campaign,216,1
77148,Private Campaign,100,1
77149,"Hongbao for Hope,Private Campaign,Thematic Campaign",322.2,6
77150,Private Campaign,0.9,1
77151,Private Campaign,10,1
77152,Private Campaign,109.8,1
77153,Private Campaign,109.8,1
77154,Private Campaign,10.8,1
77155,Private Campaign,10.8,1
77156,Private Campaign,20,1
77157,Private Campaign,52.5,1
77158,Private Campaign,10.8,1
77159,Private Campaign,109.8,1
77160,Private Campaign,21.8,1
77161,Private Campaign,270,1
77162,Private Campaign,10.8,1
77163,Private Campaign,10.8,1
77164,Private Campaign,54.8,1
77165,Private Campaign,54.8,1
77166,Private Campaign,109.8,1
77167,"Children,Family,Medical,Private Campaign",439.2,8
77168,Private Campaign,105,1
77169,Private Campaign,54.8,1
77170,Private Campaign,21.8,1
77171,Private Campaign,54.8,1
77172,Private Campaign,54.8,1
77173,Private Campaign,216,1
77174,"Hongbao for Hope,Thematic Campaign",240,2
77175,Private Campaign,52.5,1
77176,Private Campaign,54.8,1
77177,Private Campaign,54.8,1
77178,Private Campaign,109.8,1
77179,Private Campaign,100,1
77180,Private Campaign,109.8,1
77181,Private Campaign,100,1
77182,Private Campaign,324,1
77183,Private Campaign,2,1
77184,Private Campaign,54.8,1
77185,Private Campaign,109.8,1
77186,Private Campaign,109.8,1
77187,"Hongbao for Hope,Thematic Campaign",193.2,2
77188,Private Campaign,109.8,1
77189,Private Campaign,100,1
77190,Private Campaign,54.8,1
77191,Private Campaign,216,1
77192,Private Campaign,20,1
77193,Private Campaign,3000,1
77194,Private Campaign,10.8,1
77195,Private Campaign,100,1
77196,Private Campaign,109.8,1
77197,Private Campaign,2,1
77198,Private Campaign,87.8,1
77199,Private Campaign,100,1
77200,Private Campaign,10.8,1
77201,Private Campaign,52.5,1
77202,Private Campaign,10.8,1
77203,"Hongbao for Hope,Thematic Campaign",376,2
77204,Private Campaign,54.8,1
77205,Private Campaign,1080,1
77206,Private Campaign,109.8,1
77207,Private Campaign,109.8,1
77208,Private Campaign,5.3,1
77209,"Hongbao for Hope,Thematic Campaign",376,2
77210,Private Campaign,200,1
77211,Private Campaign,109.8,1
77212,Private Campaign,54.8,1
77213,Private Campaign,10,1
77214,Private Campaign,109.8,1
77215,Private Campaign,100,1
77216,Private Campaign,300,1
77217,Private Campaign,109.8,1
77218,Private Campaign,54.8,1
77219,"Children,Medical,Private Campaign",225,6
77220,"Hongbao for Hope,Thematic Campaign",32.6,2
77221,Private Campaign,197.8,1
77222,Private Campaign,100,1
77223,Private Campaign,109.8,1
77224,Private Campaign,540,1
77225,Private Campaign,109.8,1
77226,Private Campaign,100,1
77227,Private Campaign,109.8,1
77228,"COVID-19,Private Campaign",1532,4
77229,Private Campaign,210,1
77230,"Family,Private Campaign",24,4
77231,Private Campaign,109.8,1
77232,Private Campaign,109.8,1
77233,Private Campaign,54.8,1
77234,Private Campaign,109.8,1
77235,Private Campaign,5,1
77236,Private Campaign,54.8,1
77237,Private Campaign,525,1
77238,Private Campaign,100,1
77239,Private Campaign,329.4,3
77240,Private Campaign,109.8,1
77241,Private Campaign,54.8,1
77242,Private Campaign,20,1
77243,Private Campaign,54.8,1
77244,Private Campaign,109.8,1
77245,Private Campaign,54.8,1
77246,Private Campaign,150,1
77247,Private Campaign,54.8,1
77248,"Children,Medical,Private Campaign",197.4,6
77249,Private Campaign,28,1
77250,Private Campaign,54.8,1
77251,"Hongbao for Hope,Thematic Campaign",176,2
77252,Private Campaign,109.8,1
77253,Private Campaign,20,1
77254,Private Campaign,100,1
77255,Private Campaign,200,1
77256,Private Campaign,54.8,1
77257,Private Campaign,109.8,1
77258,Private Campaign,216,1
77259,Private Campaign,105,1
77260,Private Campaign,109.8,1
77261,Private Campaign,32.8,1
77262,Private Campaign,54.8,1
77263,Private Campaign,10.8,1
77264,Private Campaign,109.8,1
77265,Private Campaign,109.8,1
77266,Private Campaign,50,1
77267,Private Campaign,311.04,1
77268,Private Campaign,109.8,1
77269,Private Campaign,109.8,1
77270,Private Campaign,5.3,1
77271,Private Campaign,1000,1
77272,Private Campaign,54.8,1
77273,Private Campaign,500,1
77274,"Hongbao for Hope,Thematic Campaign",36,2
77275,"Children,Family",100,2
77276,Private Campaign,216,1
77277,Private Campaign,105,1
77278,Private Campaign,21.8,1
77279,Private Campaign,100,1
77280,Private Campaign,100,1
77281,Private Campaign,50,1
77282,Private Campaign,50,1
77283,Private Campaign,153.75,1
77284,Private Campaign,109.8,1
77285,Private Campaign,100,1
77286,Private Campaign,21.8,1
77287,"Hongbao for Hope,Thematic Campaign",100,2
77288,Private Campaign,54.8,1
77289,Private Campaign,10.8,1
77290,Private Campaign,19.6,1
77291,"Hongbao for Hope,Thematic Campaign",200,2
77292,Private Campaign,21.8,1
77293,Private Campaign,109.8,1
77294,Private Campaign,54.8,1
77295,Private Campaign,540,1
77296,Private Campaign,540,1
77297,Private Campaign,109.8,1
77298,Private Campaign,50,1
77299,Private Campaign,197.4,1
77300,"Medical,Migrant Workers",219.6,2
77301,Private Campaign,20,1
77302,Private Campaign,109.8,1
77303,Private Campaign,55,1
77304,Private Campaign,21.8,1
77305,Private Campaign,10.8,1
77306,Private Campaign,10.8,1
77307,Private Campaign,0.9,1
77308,Private Campaign,96.6,1
77309,Private Campaign,540,1
77310,Private Campaign,50,1
77311,Private Campaign,54.8,1
77312,Private Campaign,54.8,1
77313,Private Campaign,20,1
77314,Private Campaign,200,1
77315,"Children,Medical,Private Campaign",494.4,6
77316,Private Campaign,21.8,1
77317,Private Campaign,109.8,1
77318,Private Campaign,54.8,1
77319,Private Campaign,54.8,1
77320,Private Campaign,109.8,1
77321,Private Campaign,54.8,1
77322,Private Campaign,32.8,1
77323,"Children,Medical,Private Campaign",598.2,6
77324,Private Campaign,109.8,1
77325,Private Campaign,170.3,1
77326,Private Campaign,109.8,1
77327,Private Campaign,100,1
77328,Private Campaign,109.8,1
77329,Private Campaign,109.8,1
77330,"Lights for Hope,Private Campaign,Thematic Campaign",600,3
77331,Private Campaign,54.8,1
77332,Private Campaign,216,1
77333,Private Campaign,50,1
77334,Private Campaign,100,1
77335,Private Campaign,188,1
77336,Private Campaign,54.8,1
77337,Private Campaign,218,1
77338,Private Campaign,54.8,1
77339,Private Campaign,21.8,1
77340,Private Campaign,50,1
77341,Private Campaign,21.8,1
77342,Private Campaign,540,1
77343,Private Campaign,200,1
77344,Private Campaign,109.8,1
77345,Private Campaign,109.8,1
77346,Private Campaign,25,1
77347,Private Campaign,109.8,1
77348,Private Campaign,109.8,1
77349,Private Campaign,540,1
77350,Private Campaign,205,1
77351,Private Campaign,21.8,1
77352,Private Campaign,5.3,1
77353,Private Campaign,2,1
77354,Private Campaign,100,1
77355,Private Campaign,54.8,1
77356,Private Campaign,20,1
77357,Private Campaign,100,1
77358,Private Campaign,10.8,1
77359,Private Campaign,54.8,1
77360,Private Campaign,88,1
77361,Private Campaign,10.8,1
77362,Private Campaign,21.8,1
77363,Private Campaign,847.8,1
77364,Private Campaign,50,1
77365,Private Campaign,10.8,1
77366,Private Campaign,109.8,1
77367,Private Campaign,109.8,1
77368,"Children,Medical,Private Campaign",600,6
77369,Private Campaign,54.8,1
77370,"Children,Medical,Private Campaign",794.4,9
77371,Private Campaign,10.8,1
77372,"Children,Medical,Private Campaign",315,6
77373,Private Campaign,10.8,1
77374,Private Campaign,54.8,1
77375,Private Campaign,10.8,1
77376,Private Campaign,96.6,1
77377,Private Campaign,10.8,1
77378,Private Campaign,315,1
77379,Private Campaign,21.8,1
77380,Private Campaign,216,1
77381,Private Campaign,10.8,1
77382,Private Campaign,54.8,1
77383,Private Campaign,5.3,1
77384,Private Campaign,50,1
77385,Private Campaign,109.8,1
77386,Private Campaign,21.8,1
77387,Private Campaign,54.8,1
77388,Private Campaign,5.3,1
77389,Private Campaign,109.8,1
77390,Private Campaign,10.8,1
77391,Private Campaign,110,1
77392,Private Campaign,10.8,1
77393,Private Campaign,50,1
77394,Private Campaign,109.8,1
77395,Private Campaign,54.8,1
77396,Private Campaign,10.8,1
77397,Private Campaign,109.8,1
77398,Private Campaign,109.8,1
77399,Private Campaign,324,1
77400,Private Campaign,888,1
77401,Private Campaign,21.8,1
77402,Private Campaign,5.3,1
77403,Private Campaign,109.8,1
77404,Private Campaign,109.8,1
77405,"Children,Medical,Private Campaign",450,6
77406,Children,21.8,1
77407,Private Campaign,54.8,1
77408,Private Campaign,10.8,1
77409,"Children,Medical,Private Campaign",645,6
77410,Private Campaign,10.8,1
77411,Children of drug offenders,500,1
77412,Private Campaign,21.8,1
77413,Private Campaign,21.8,1
77414,Private Campaign,96.6,1
77415,Private Campaign,54.8,1
77416,Private Campaign,10.8,1
77417,Private Campaign,54.8,1
77418,"Children,Medical,Private Campaign",359.4,6
77419,Private Campaign,54.8,1
77420,Private Campaign,54.8,1
77421,Private Campaign,50,1
77422,Private Campaign,216,1
77423,Private Campaign,96.6,1
77424,Private Campaign,100,1
77425,Private Campaign,21.8,1
77426,Private Campaign,100,1
77427,Private Campaign,10.8,1
77428,Private Campaign,10.8,1
77429,Private Campaign,54.8,1
77430,"Medical,Private Campaign",209.6,4
77431,Private Campaign,10.8,1
77432,"Children,Family,Medical,Private Campaign",879.2,8
77433,Private Campaign,92.4,1
77434,Private Campaign,109.8,1
77435,Private Campaign,82.5,1
77436,Private Campaign,109.8,1
77437,Private Campaign,50,1
77438,Private Campaign,109.8,1
77439,Private Campaign,54.8,1
77440,Private Campaign,10.8,1
77441,Children of drug offenders,324,1
77442,Private Campaign,109.8,1
77443,Private Campaign,21.8,1
77444,Private Campaign,21.8,1
77445,Private Campaign,10.8,1
77446,Private Campaign,54.8,1
77447,Private Campaign,105,1
77448,"Children,Medical,Private Campaign",949.8,6
77449,Private Campaign,216,1
77450,Private Campaign,100,1
77451,Private Campaign,50,1
77452,Private Campaign,10.8,1
77453,Private Campaign,10,1
77454,Private Campaign,54.8,1
77455,Children of drug offenders,54.8,1
77456,Private Campaign,54.8,1
77457,Private Campaign,216,1
77458,Private Campaign,50,1
77459,Private Campaign,105,1
77460,Private Campaign,54.8,1
77461,Private Campaign,0.9,1
77462,Private Campaign,10.8,1
77463,Private Campaign,216,1
77464,Private Campaign,216,1
77465,Private Campaign,32.8,1
77466,Private Campaign,65.8,1
77467,Private Campaign,50,1
77468,Private Campaign,300,1
77469,Private Campaign,100,1
77470,Private Campaign,540,1
77471,"Children,Family,Medical,Private Campaign",240,8
77472,Private Campaign,31.5,1
77473,Private Campaign,54.8,1
77474,Private Campaign,50,1
77475,Private Campaign,216,1
77476,Private Campaign,100,1
77477,Private Campaign,112.37,1
77478,Foreign Domestic Workers,10.8,1
77479,Private Campaign,500,1
77480,Private Campaign,1080,1
77481,Private Campaign,109.8,1
77482,Private Campaign,1000,1
77483,Private Campaign,25,1
77484,Private Campaign,324,1
77485,Private Campaign,31.5,1
77486,Private Campaign,32.8,1
77487,Private Campaign,1030,1
77488,Private Campaign,50,1
77489,"Children,Medical,Private Campaign",977.4,6
77490,Private Campaign,109.8,1
77491,Private Campaign,1000,1
77492,Private Campaign,109.8,1
77493,Private Campaign,109.8,1
77494,Private Campaign,1080,1
77495,Private Campaign,1000,1
77496,Private Campaign,109.8,1
77497,"Children,Medical,Private Campaign",930,6
77498,Private Campaign,2160,1
77499,Private Campaign,96.6,1
77500,Private Campaign,100,1
77501,Private Campaign,54.8,1
77502,Private Campaign,50,1
77503,Private Campaign,50,1
77504,Children of drug offenders,216,1
77505,Children of drug offenders,100,1
77506,"Giving Circle,Homeless,Single Parents",1944,3
77507,Children of drug offenders,54.8,1
77513,"Children,Fundraising,Medical",165,3
77514,"Children,Fundraising,Medical",150,3
77540,"Children,Elderly,Medical",795,12
77545,"Children,Family,Fundraising",165,3
77549,"Elderly,Medical",72,4
77556,Registered society,120,1
77561,"COVID-19,Registered society",24400,8
77564,"Children,Fundraising,Medical",300,3
77639,"Children,Family,Medical",165,3
77657,Charities,700,2
77660,"Fundraising,Registered society",100,2
77674,"Charities,Children,Elderly,Family,Medical,Single Parents",300,6
77688,"COVID-19,Registered society",6000,4
77690,Registered society,930,3
77696,"Children,COVID-19",200,2
77698,"Children,Family,Medical",150,3
77702,Migrant Workers,55,1
77709,"Children,Family,Medical",300,3
77711,"Children,Family,Medical",330,3
77712,"Children,Lights for Hope,Medical,Thematic Campaign",80,8
77714,"Children,Medical,Migrant Workers",165,3
77715,"Children,Lights for Hope,Medical,Thematic Campaign",440,4
77722,"Children,Family,Lights for Hope,Medical,Thematic Campaign",250,5
77723,"Children,Lights for Hope,Medical,Thematic Campaign",440,4
77727,"Children,Lights for Hope,Medical,Thematic Campaign",40,4
77731,"Children,Lights for Hope,Medical,Thematic Campaign",220,4
77732,Fundraising,250,3
77749,"Children,Family,Medical",630,6
77752,"Children,Family,Medical",165,3
77758,"Children,Family,Medical",165,3
77762,"COVID-19,Registered society",400,2
77768,"Children,Elderly,Family,Medical,Migrant Workers,Single Parents",28248,36
77772,"Children,Elderly,Medical",231,6
77795,"Children,Family,Medical",150,3
77803,"Fundraising,Registered society",210,2
77918,"Children,Medical",110,2
77928,"Children,Family,Medical",90,3
77931,"Children,Family,Medical",33,3
77934,"Children,Family,Medical",150,3
77941,"COVID-19,Registered society",120,4
77963,"Charities,Children,Medical",90,6
77966,"COVID-19,Registered society",300,2
77968,Charities,715,3
77975,"COVID-19,Registered society",3860,4
77978,"Children,Fundraising,Medical",366,6
77980,"Children,Single Parents",500,4
77986,"Charities,Special Needs",400,2
78008,"Charities,Children,Family,Medical,Special Needs",262.5,5
78009,"COVID-19,Registered society",6632,6
78017,"Children,Elderly,Individual,Medical,Student",1575,15
78019,Education,55,1
78022,"Children,COVID-19,Medical",600,3
78024,COVID-19,3300,1
78025,"COVID-19,Registered society",3000,2
78027,"Children,Family,Medical,Single Parents,Tuition Fees",1100,10
78042,Fundraising,55,1
78043,Migrant Workers,55,2
78044,"Children,Families",220,2
78045,Children,88,2
78046,Elderly,110,1
78047,Fundraising,110,1
78048,Fundraising,110,1
78049,Fundraising,110,1
78050,Children,11,1
78051,"Children,Family,Tuition Fees",381,9
78052,Elderly,110,1
78053,Fundraising,200,3
78054,"Children,Elderly,Medical",381,9
78055,Children,50,1
78056,Children,27.5,1
78057,Fundraising,1000,1
78058,Children,27.5,1
78059,Children,110,1
78060,Fundraising,22,1
78061,Fundraising,55,1
78062,Children,33,1
78063,COVID-19,300,1
78064,Children,55,1
78065,Fundraising,55,1
78066,Medical,5,1
78067,COVID-19,3300,1
78068,Medical,55,1
78069,Charities,110,1
78070,Education,101,1
78071,Children,55,1
78072,"Charities,Elderly",600,2
78073,Children,27.5,1
78074,Children,50,1
78075,Children,275,2
78076,"Elderly,Medical",110,2
78077,Fundraising,1000,1
78078,Children,25,1
78079,Charities,110,1
78080,"COVID-19,Medical,Registered society",31217.82,30
78081,Registered society,50,1
78082,Medical,101,1
78083,Medical,110,1
78084,"Children,Medical",275,4
78085,Children,150,1
78086,Medical,52,1
78087,"Children,Family",154,2
78088,Children,148.5,2
78089,Children,132.5,2
78090,Children,154,2
78091,Children,55,1
78092,Children,125,2
78093,Children,450,2
78094,Children,27.5,1
78095,Children,25,1
78096,Children,27.5,1
78097,Children,55,1
78098,Children,55,1
78099,Children,110,1
78100,Children,11,1
78101,Fundraising,55,1
78102,Children,27.5,1
78103,"ADHD,Children,Fundraising,Medical",3438,36
78104,"Children,Medical",420,4
78105,"Children,Medical",420,4
78106,ADHD,22,1
78107,Registered society,330,1
78108,"ADHD,Charities,Mental Health,Youths",1380,8
78109,"Children,Medical",400,6
78110,"Children,Individual,Migrant Workers,Special Needs,Student",1675,15
78111,Education,5624,7
78112,Fundraising,55,1
78113,ADHD,5.5,1
78114,"Children,Elderly,Family,Medical,Single Parents",451,25
78115,COVID-19,20,1
78116,COVID-19,3300,1
78117,COVID-19,3000,1
78118,"Children,Medical",1400,4
78119,Medical,110,1
78120,ADHD,22,1
78121,Fundraising,220,1
78122,"Children,Medical",4400,4
78123,"Children,Medical",400,4
78124,Fundraising,5,1
78125,Medical,550,1
78126,COVID-19,12000,2
78127,Fundraising,10,1
78128,ADHD,60,1
78129,Fundraising,110,1
78130,Fundraising,55,1
78131,Fundraising,200,1
78132,Fundraising,5,1
78133,Fundraising,50,1
78134,Fundraising,55,1
78135,Fundraising,55,1
78136,Fundraising,55,1
78137,Fundraising,50,1
78138,Fundraising,55,1
78139,Fundraising,50,1
78140,Fundraising,50,1
78141,Medical,1114,3
78142,Registered society,22,1
78143,Fundraising,50,1
78144,Medical,55,1
78145,"Children,Medical",220,4
78146,"Children,Family,Medical,Migrant Workers",1940,12
78147,"Charities,Children,Medical,Special Needs",1744,8
78148,Fundraising,550,4
78149,Medical,220,1
78150,Medical,100,1
78151,Medical,110,1
78152,Charities,300,1
78153,Medical,500,1
78154,"Elderly,Medical",220,2
78155,"Children,Medical",306,4
78156,"Charities,Children,Elderly,Family,Medical,Tuition Fees",264,6
78157,COVID-19,110,1
78158,Registered society,1010,1
78159,"Children,Elderly,Medical",2922,9
78160,"Children,Medical",122,6
78161,Medical,11,1
78162,"Children,Medical",242,6
78163,"Children,Elderly,Medical",495,6
78164,Charities,250,1
78165,Fundraising,50,1
78166,"Children,Families",220,2
78167,"ADHD,Charities",110,2
78168,"ADHD,Charities",110,2
78169,COVID-19,55,1
78170,"ADHD,Charities",110,2
78171,"ADHD,Charities",132,2
78172,Registered society,22,1
78173,ADHD,55,1
78174,"Children,Family,Medical",891,9
78175,Fundraising,10,1
78176,Education,55,1
78177,COVID-19,55,1
78178,Education,55,1
78179,Education,215,2
78180,Education,505,1
78181,Charities,5.5,1
78182,Education,639,1
78183,Registered society,200,1
78184,COVID-19,3000,1
78185,"Children,Family,Tuition Fees",165,3
78186,Fundraising,110,1
78187,Charities,55,1
78188,Registered society,200,1
78189,Family,160,4
78190,"Charities,Children,Elderly,Fundraising,Medical,Single Parents",1650,30
78191,Fundraising,50,1
78192,Fundraising,110,1
78193,COVID-19,3000,1
78194,"Children,Elderly,Medical,Migrant Workers,Special Needs",2155,20
78195,COVID-19,55,1
78196,Fundraising,100,1
78197,"Children,Fundraising,Single Parents,Special Needs",1912,12
78198,Charities,300,1
78199,COVID-19,3000,1
78200,Fundraising,500,1
78201,Fundraising,55,1
78202,Education,50,1
78203,"Children,COVID-19,Medical",495,6
78204,COVID-19,66,1
78205,Fundraising,100,1
78206,Fundraising,1.1,1
78207,Family,55,1
78208,Fundraising,50,1
78209,Fundraising,550,1
78210,"Education,Families,Giving Circle",600,3
78211,Fundraising,100,1
78212,Fundraising,55,1
78213,Fundraising,250,1
78214,"Children,Family,Fundraising,Medical",400,8
78215,COVID-19,27.5,1
78216,Registered society,420,3
78217,Fundraising,50,1
78218,Migrant Workers,600,1
78219,COVID-19,330,3
78220,COVID-19,40,2
78221,COVID-19,500,1
78222,COVID-19,22,1
78223,Fundraising,110,1
78224,"Children,COVID-19,Medical",366,6
78225,Ray of Hope,50,1
78226,Fundraising,50,1
78227,Ray of Hope,1000,1
78228,Fundraising,60,1
78229,Registered society,10,1
78230,"Charities,Children,Elderly,Medical",1280,12
78231,Medical,100,1
78232,Fundraising,100,1
78233,Registered society,200,1
78234,Education,100,1
78235,COVID-19,200,1
78236,COVID-19,20,1
78237,COVID-19,10,1
78238,Registered society,20,1
78239,Fundraising,50,1
78240,Fundraising,50,1
78241,Registered society,22,1
78242,Fundraising,50,1
78243,Registered society,2000,2
78244,Education,50,1
78245,"Children,Family,Tuition Fees",300,3
78246,COVID-19,50,1
78247,Fundraising,5000,1
78248,Fundraising,100,1
78249,Fundraising,55,1
78250,Fundraising,50,1
78251,Fundraising,275,1
78252,Fundraising,300,2
78253,Fundraising,750,2
78254,Fundraising,30,1
78255,Education,50,1
78256,"Charities,Elderly",100,2
78257,Charities,100,2
78258,Fundraising,150,1
78259,Charities,50,1
78260,"Charities,Children,Elderly,Medical,Single Parents,Special Needs",450,18
78261,Fundraising,100,1
78262,Fundraising,500,1
78263,Registered society,300,1
78264,Fundraising,2000,1
78265,"Children,Family,Tuition Fees",198,6
78266,"Charities,Education,Fundraising,Special Needs",600,4
78267,Fundraising,55,1
78268,Fundraising,100,1
78269,Fundraising,10,1
78270,Fundraising,5,1
78271,"Fundraising,GIC",100,2
78272,COVID-19,580,3
78273,COVID-19,55,1
